floor,room_number,room_type,door_coordinate,accessible_door,inside_accessbility,room_name,building_name,tags,min_stairs_needed
100,100,Stairs,"{0,0}",,,,87 Gym,,
100,100B,Hallway,"{0,0}",,,,87 Gym,,
100,101,Office,"{0,0}",,,,87 Gym,,
100,102,Office,"{0,0}",,,,87 Gym,,
100,103,,"{0,0}",,,,87 Gym,,
100,104,Office,"{0,0}",,,,87 Gym,,
100,105,Office,"{0,0}",,,,87 Gym,,
100,106,Office,"{0,0}",,,,87 Gym,,
100,107,Office,"{0,0}",,,,87 Gym,,
100,108,Office,"{0,0}",,,,87 Gym,,
100,109,Office,"{0,0}",,,,87 Gym,,
100,110,Office,"{0,0}",,,,87 Gym,,
100,111,Classroom,"{0,0}",,,,87 Gym,,
100,112,Stairs,"{0,0}",,,,87 Gym,,
100,113,Classroom,"{0,0}",,,,87 Gym,,
100,114,Stairs,"{0,0}",,,,87 Gym,,
100,115,Classroom,"{0,0}",,,,87 Gym,,
100,116,Office,"{0,0}",,,,87 Gym,,
100,117,Hallway,"{0,0}",,,,87 Gym,,
100,118,Office,"{0,0}",,,,87 Gym,,
100,119,,"{0,0}",,,,87 Gym,,
100,120,Bathroom(M),"{0,0}",,,,87 Gym,,
100,121,Bathroom(M),"{0,0}",,,,87 Gym,,
100,122,Bathroom(M),"{0,0}",,,,87 Gym,,
100,123,Classroom,"{0,0}",,,,87 Gym,,
100,124,Closet,"{0,0}",,,,87 Gym,,
200,200A,Hallway,"{0,0}",FALSE,,,87 Gym,,
200,200B,,"{0,0}",,,,87 Gym,,
200,200C,,"{0,0}",,,,87 Gym,,
200,200D,Hallway,"{0,0}",TRUE,,,87 Gym,,
200,202,,"{0,0}",,,,87 Gym,,
200,203,,"{0,0}",,,,87 Gym,,
300,300C,Stairs,"{0,0}",,,,87 Gym,,
300,302,,"{0,0}",,,{West Gym},87 Gym,,
300,301,,"{0,0}",,,{East Gym},87 Gym,,
300,300B,Stairs,"{0,0}",,,,87 Gym,,
300,303,,"{0,0}",,,,87 Gym,,
300,300,Stairs,"{0,0}",,,,87 Gym,,
300,300E,Stairs,"{0,0}",,,,87 Gym,,
300,300A,Stairs,"{0,0}",,,,87 Gym,,
300,300D,Stairs,"{0,0}",,,,87 Gym,,
