,,,,,,,,,
int,varchar,room_type,float[2],bool,bool,varchar[],varchar,varchar[],int
floor,room_number,room_type,door_coordinate,accessible_door,inside_accessbility,room_name,building_name,tags,min_stairs_needed
1000,1005,,,,,,Academy,,
1000,1005A,,,,,,Academy,,
1000,1500,,,,,,Academy,,
1000,1523,Stairs,,,,,Academy,,
1000,1515,,,,,,Academy,,
1000,1004,Stairs,,,,,Academy,,
1000,1321,,,,,,Academy,,
1000,1002,Stairs,,,,,Academy,,
1000,1-E,Elevator,,,,,Academy,,
1000,1319,,,,,,Academy,,
1000,1300,Hallway,,,,,Academy,,
1000,1121A,,,,,,Academy,,
1000,1120,Hallway,,,,,Academy,,
1000,1121,Bathroom(M),,,,,Academy,,
1000,1118,,,,,,Academy,,
1000,1118B,,,,,,Academy,,
1000,1111,,,,,,Academy,,
1000,1111A,Stairs,,,,,Academy,,
1000,1113,Bathroom(N),,,,,Academy,,
1000,1211,,,,,,Academy,,
1000,1001A,,,,,,Academy,,
1000,1001,,,,,,Academy,,
1000,1000,,,,,,Academy,,
1000,1728,,,,,,Academy,,
1000,1719,,,,,,Academy,,
1000,1721,,,,,,Academy,,
1000,1725,Stairs,,,,,Academy,,
1000,1727,,,,,,Academy,,
1000,1717,,,,,,Academy,,
1000,1717A,,,,,,Academy,,
1000,1717B,,,,,,Academy,,
1000,1717C,,,,,,Academy,,
1000,1717D,,,,,,Academy,,
1000,1713,,,,,,Academy,,
1000,1713A,,,,,,Academy,,
1000,1713B,,,,,,Academy,,
1000,1713C,,,,,,Academy,,
1000,1714,Hallway,,,,,Academy,,
1000,1711,,,,,,Academy,,
1000,1712,,,,,,Academy,,
2000,2003,Stairs,,,,,Academy,,
2000,2231,Office,,,,,Academy,,
2000,2221,Office,,,,,Academy,,
2000,2223,Office,,,,,Academy,,
2000,2225,Office,,,,,Academy,,
2000,2227,Office,,,,,Academy,,
2000,2229,Office,,,,,Academy,,
2000,2405,Office,,,,,Academy,,
2000,2222,Office,,,,,Academy,,
2000,2224,Office,,,,,Academy,,
2000,2226,Office,,,,,Academy,,
2000,2232,Office,,,,,Academy,,
2000,2230,Office,,,,,Academy,,
2000,2210,Office,,,,,Academy,,
2000,2212,Office,,,,,Academy,,
2000,2211,Office,,,,,Academy,,
2000,2213,Office,,,,,Academy,,
2000,2215,Office,,,,,Academy,,
2000,2217,Office,,,,,Academy,,
2000,2219,Office,,,,,Academy,,
2000,2001,Stairs,,,,,Academy,,
2000,2206,,,,,,Academy,,
2000,2407,Office,,,,,Academy,,
2000,2401,,,,,,Academy,,
2000,2402,,,,,,Academy,,
2000,2400,Hallway,,,,,Academy,,
2000,2105,,,,,,Academy,,
2000,2107,Office,,,,,Academy,,
2000,2315,Bathroom(M),,,,,Academy,,
2000,2313,Bathroom(W),,,,,Academy,,
2000,2311,Bathroom(N),,,,,Academy,,
2000,2301,Hallway,,,,,Academy,,
2000,2300,,,,,,Academy,,
2000,2002,Stairs,,,,,Academy,,
2000,2-E,Elevator,,,,,Academy,,
2000,2512,Office,,,,,Academy,,
2000,2516,Office,,,,,Academy,,
2000,2520,,,,,,Academy,,
2000,2600,Office,,,,,Academy,,
2000,2511,,,,,,Academy,,
2000,2515,,,,,,Academy,,
2000,2519,,,,,,Academy,,
2000,2523,Stairs,,,,,Academy,,
2000,2004,Stairs,,,,,Academy,,
2000,2629.01,Office,,,,,Academy,,
2000,2629.02,Office,,,,,Academy,,
2000,2629.03,Office,,,,,Academy,,
2000,2629.04,Office,,,,,Academy,,
2000,2629.05,Office,,,,,Academy,,
2000,2601.01,Office,,,,,Academy,,
2000,2601.02,Office,,,,,Academy,,
2000,2601.03,Office,,,,,Academy,,
2000,2601.04,Office,,,,,Academy,,
2000,2625,Office,,,,,Academy,,
2000,2621.01,Office,,,,,Academy,,
2000,2621.02,Office,,,,,Academy,,
2000,2626,Office,,,,,Academy,,
2000,2624,Office,,,,,Academy,,
2000,2622,Office,,,,,Academy,,
2000,2616.01,Office,,,,,Academy,,
2000,2616.02,Office,,,,,Academy,,
2000,2616.03,Office,,,,,Academy,,
2000,2619,Office,,,,,Academy,,
2000,2615,Office,,,,,Academy,,
2000,2613,Office,,,,,Academy,,
2000,2611,Office,,,,,Academy,,
