floor,room_number,room_type,door_coordinate,accessible_door,inside_accessbility,room_name,building_name,tags,min_stairs_needed
100,101,Hallway,"{0,0}",,,,Amos Eaton,,
100,102,,"{0,0}",,,,Amos Eaton,,
100,103,Bathroom(N),"{7,34.5}",,,,Amos Eaton,,
100,104,Classroom,"{0,0}",,,,Amos Eaton,,
100,105,,"{0,0}",,,,Amos Eaton,,
100,106,Classroom,"{34,34.5}",,,,Amos Eaton,,
100,107,Office,"{48,34.5}",,,,Amos Eaton,,
100,108,Office,"{53.3,34.5}",,,,Amos Eaton,,
100,109,Office,"{63.5,34.5}",,,,Amos Eaton,,
100,109,Office,"{65.5,34.5}",,,,Amos Eaton,,
100,110,Office,"{69,34.5}",,,,Amos Eaton,,
100,111,Office,"{82,34.5}",,,,Amos Eaton,,
100,112,Office,"{85.5,34.5}",,,,Amos Eaton,,
100,113,Stairs,"{0,0}",,,,Amos Eaton,,
100,114,Hallway,"{0,0}",,,,Amos Eaton,,
100,115,Office,"{97.5,37.5}",,,,Amos Eaton,,
100,116,Hallway,"{0,0}",,,,Amos Eaton,,
100,117,Classroom,"{23.5,34.5}",,,,Amos Eaton,,
100,118,Classroom,"{63.5,34.5}",,,CS Lounge,Amos Eaton,,
100,118,Classroom,"{64,15}",,,CS Lounge,Amos Eaton,,
100,119,Classroom,"{77,34.5}",,,,Amos Eaton,,
100,119,Classroom,"{77,15}",,,,Amos Eaton,,
100,120,,"{0,0}",,,,Amos Eaton,,
100,121,Hallway,"{0,0}",,,,Amos Eaton,,
100,122,Bathroom(N),"{22,15}",,,,Amos Eaton,,
100,123,Office,"{39,15}",,,,Amos Eaton,,
100,124,Office,"{53.6,15}",,,,Amos Eaton,,
100,125,Office,"{65.5,15}",,,,Amos Eaton,,
100,126,Stairs,"{0,0}",,,,Amos Eaton,,
100,127,Office,"{80.8,15}",,,,Amos Eaton,,
100,128,Office,"{0,0}",,,,Amos Eaton,,
100,129,Office,"{0,0}",,,,Amos Eaton,,
100,130,Hallway,"{97.5,26}",FALSE,,,Amos Eaton,,
100,131,Office,"{97.5,11.3}",,,,Amos Eaton,,
100,132,Office,"{97.5,18}",,,,Amos Eaton,,
100,133,Office,"{97.5,21.5}",,,,Amos Eaton,,
100,134,Office,"{97.5,28}",,,,Amos Eaton,,
100,135,Office,"{0,0}",,,,Amos Eaton,,
100,136,,"{0,0}",,,,Amos Eaton,,
200,201,Stairs,"{0,0}",,,,Amos Eaton,,
200,202,Hallway,"{6,20}",,,,Amos Eaton,,
200,202,Hallway,"{6,35}",,,,Amos Eaton,,
200,203,Bathroom(M),"{6,36}",,,,Amos Eaton,,
200,204,,"{17,35}",,,,Amos Eaton,,
200,205,Office,"{35,35}",,,,Amos Eaton,,
200,206,Office,"{44.5,35}",,,,Amos Eaton,,
200,207,,"{58,35}",,,,Amos Eaton,,
200,208,Office,"{61.3,35}",,,,Amos Eaton,,
200,209,,"{70,35}",,,,Amos Eaton,,
200,210,,"{78,35}",,,,Amos Eaton,,
200,211,,"{86,35}",,,,Amos Eaton,,
200,212,Stairs,"{95.5,35}",,,,Amos Eaton,,
200,213,Hallway,"{0,0}",,,,Amos Eaton,,
200,214,Lecture_Hall,"{6,17.3}",,,,Amos Eaton,,
200,214,Lecture_Hall,"{47.3,35}",,,,Amos Eaton,,
200,215,Classroom,"{52,35}",,,,Amos Eaton,,
200,215,Classroom,"{72,35}",,,,Amos Eaton,,
200,216,Classroom,"{75.3,35}",,,,Amos Eaton,,
200,217,,"{90,35}",,,,Amos Eaton,,
200,217,,"{95.5,35}",,,,Amos Eaton,,
200,218,Office,"{97,35}",,,,Amos Eaton,,
200,219,Office,"{0,0}",,,,Amos Eaton,,
300,301,Stairs,"{0,0}",,,,Amos Eaton,,
300,302A,,"{23,35}",,,,Amos Eaton,,
300,302A,,"{23,33.5}",,,,Amos Eaton,,
300,302,,"{23,19}",,,,Amos Eaton,,
300,303,Bathroom(W),"{0,0}",,,,Amos Eaton,,
300,304,Office,"{0,0}",,,,Amos Eaton,,
300,305,,"{30,15}",,,,Amos Eaton,,
300,306,Office,"{43.5,35}",,,,Amos Eaton,,
300,307,Office,"{57,35}",,,,Amos Eaton,,
300,308,Office,"{62.5,35}",,,,Amos Eaton,,
300,309,Office,"{69,35}",,,,Amos Eaton,,
300,310,Office,"{81,35}",,,,Amos Eaton,,
300,311,,"{84.4,35}",,,,Amos Eaton,,
300,312,Stairs,"{94,35}",,,,Amos Eaton,,
300,313,Hallway,"{0,0}",,,,Amos Eaton,,
300,314,Hallway,"{0,0}",,,,Amos Eaton,,
300,315,,"{28,35}",,,,Amos Eaton,,
300,315,,"{46.5,35}",,,,Amos Eaton,,
300,316A,Office,"{51,35}",,,,Amos Eaton,,
300,316A,Office,"{51,15}",,,,Amos Eaton,,
300,316B,Office,"{70,35}",,,,Amos Eaton,,
