floor,room_number,room_type,door_coordinate,accessible_door,inside_accessbility,room_name,building_name,tags,min_stairs_needed
100,100,Hallway,"{0,0}",,,,Carnegie,,
100,100A,,"{0,0}",,,,Carnegie,,
100,100B,,"{0,0}",,,,Carnegie,,
100,100C,,"{0,0}",,,,Carnegie,,
100,100D,,"{0,0}",,,,Carnegie,,
100,101,Classroom,"{0,0}",,,,Carnegie,,
100,102,Classroom,"{0,0}",,,,Carnegie,,
100,103,,"{0,0}",,,,Carnegie,,
100,105,Bathroom,"{0,0}",,,,Carnegie,,
100,106,,"{0,0}",,,,Carnegie,,
100,107,Bathroom,"{0,0}",,,,Carnegie,,
100,108,Office,"{0,0}",,,,Carnegie,,
100,109,Office,"{0,0}",,,,Carnegie,,
100,111,Office,"{0,0}",,,,Carnegie,,
100,112,Classroom,"{0,0}",,,,Carnegie,,
100,113,Classroom,"{0,0}",,,,Carnegie,,
200,200A,Hallway,"{0,0}",,,,Carnegie,,
200,200B,Closet,"{0,0}",,,,Carnegie,,
200,200,Stairs,"{0,0}",,,,Carnegie,,
200,201,Classroom,"{0,0}",,,,Carnegie,,
200,203,,"{0,0}",,,,Carnegie,,
200,203A,Lab,"{0,0}",,,,Carnegie,,
200,203B,Lab,"{0,0}",,,,Carnegie,,
200,203C,,"{0,0}",,,,Carnegie,,
200,205A,,"{0,0}",,,,Carnegie,,
200,205,Classroom,"{0,0}",,,,Carnegie,,
200,206,Classroom,"{0,0}",,,,Carnegie,,
200,207F,Lab,"{0,0}",,,,Carnegie,,
200,207E,Lab,"{0,0}",,,,Carnegie,,
200,207G,Lab,"{0,0}",,,,Carnegie,,
200,207A,Lab,"{0,0}",,,,Carnegie,,
200,207B,Lab,"{0,0}",,,,Carnegie,,
200,207C,Lab,"{0,0}",,,,Carnegie,,
200,207D,Lab,"{0,0}",,,,Carnegie,,
200,207,Lab,"{0,0}",,,,Carnegie,,
200,208,Classroom,"{0,0}",,,,Carnegie,,
200,208A,,"{0,0}",,,,Carnegie,,
200,209,,"{0,0}",,,,Carnegie,,
200,210,Classroom,"{0,0}",,,,Carnegie,,
200,210A,,"{0,0}",,,,Carnegie,,
200,212,Office,"{0,0}",,,,Carnegie,,
200,212A,Office,"{0,0}",,,,Carnegie,,
200,212B,Office,"{0,0}",,,,Carnegie,,
200,212C,Lab,"{0,0}",,,,Carnegie,,
200,212D,Office,"{0,0}",,,,Carnegie,,
200,212E,,"{0,0}",,,,Carnegie,,
200,213,Lab,"{0,0}",,,,Carnegie,,
300,300,Stairs,"{0,0}",,,,Carnegie,,
300,300A,Hallway,"{0,0}",,,,Carnegie,,
300,300B,Bathroom,"{0,0}",,,,Carnegie,,
300,300C,Bathroom,"{0,0}",,,,Carnegie,,
300,300D,,"{0,0}",,,,Carnegie,,
300,301.01,Office,"{0,0}",,,,Carnegie,,
300,301.02,Office,"{0,0}",,,,Carnegie,,
300,301.03,Kitchenette,"{0,0}",,,,Carnegie,,
300,301A,Office,"{0,0}",,,,Carnegie,,
300,301B,Office,"{0,0}",,,,Carnegie,,
300,301C,,"{0,0}",,,,Carnegie,,
300,301D,Office,"{0,0}",,,,Carnegie,,
300,301E,Office,"{0,0}",,,,Carnegie,,
300,301F,Office,"{0,0}",,,,Carnegie,,
300,302.01,Office,"{0,0}",,,,Carnegie,,
300,301.02,Office,"{0,0}",,,,Carnegie,,
300,302A,Office,"{0,0}",,,,Carnegie,,
300,302B,Office,"{0,0}",,,,Carnegie,,
300,302C,Office,"{0,0}",,,,Carnegie,,
300,302D,Office,"{0,0}",,,,Carnegie,,
300,302E,Office,"{0,0}",,,,Carnegie,,
300,304,Office,"{0,0}",,,,Carnegie,,
300,305,Office,"{0,0}",,,,Carnegie,,
300,305A,Office,"{0,0}",,,,Carnegie,,
300,305B,Office,"{0,0}",,,,Carnegie,,
300,305C,Office,"{0,0}",,,,Carnegie,,
300,306,Office,"{0,0}",,,,Carnegie,,
300,306A,Lab,"{0,0}",,,,Carnegie,,
300,307,Office,"{0,0}",,,,Carnegie,,
300,308,Office,"{0,0}",,,,Carnegie,,
300,309,Office,"{0,0}",,,,Carnegie,,
300,310,Office,"{0,0}",,,,Carnegie,,
300,311,Office,"{0,0}",,,,Carnegie,,
300,311A,Office,"{0,0}",,,,Carnegie,,
300,312A,Office,"{0,0}",,,,Carnegie,,
300,312B,Office,"{0,0}",,,,Carnegie,,
300,312,Office,"{0,0}",,,,Carnegie,,
400,400,Stairs,"{0,0}",,,,Carnegie,,
400,400A,Hallway,"{0,0}",,,,Carnegie,,
400,401A,,"{0,0}",,,,Carnegie,,
400,401B,,"{0,0}",,,,Carnegie,,
400,401C,,"{0,0}",,,,Carnegie,,
400,401D,,"{0,0}",,,,Carnegie,,
400,401E,,"{0,0}",,,,Carnegie,,
400,401F,,"{0,0}",,,,Carnegie,,
400,401,,"{0,0}",,,,Carnegie,,
400,402,,"{0,0}",,,,Carnegie,,
400,403,,"{0,0}",,,,Carnegie,,
