floor,room_number,room_type,door_coordinate,accessible_door,inside_accessbility,room_name,building_name,tags,min_stairs_needed
-100,BC00,Hallway,"{0,0}",,,,JRowl,,
-100,BC00A,Stairs,"{0,0}",,,,JRowl,,
-100,BC00B,Stairs,"{0,0}",,,,JRowl,,
-100,BC00C,,"{0,0}",,,,JRowl,,
-100,BC01,Lab,"{0,0}",,,,JRowl,,
-100,BC01A,Office,"{0,0}",,,,JRowl,,
-100,BC04,Lab,"{0,0}",,,,JRowl,,
-100,BC05,Lab,"{0,0}",,,,JRowl,,
-100,BC05A,Lab,"{0,0}",,,,JRowl,,
-100,BC07,Lab,"{0,0}",,,,JRowl,,
-100,BC09,Lab,"{0,0}",,,,JRowl,,
-100,BC09A,Lab,"{0,0}",,,,JRowl,,
-100,BC10,Lab,"{0,0}",,,,JRowl,,
-100,BC12,Lab,"{0,0}",,,,JRowl,,
-100,BC12A,Lab,"{0,0}",,,,JRowl,,
-100,BC13,Lab,"{0,0}",,,,JRowl,,
-100,BC14,Lab,"{0,0}",,,,JRowl,,
-100,BC15,Classroom,"{0,0}",,,,JRowl,,
-100,BC16,Lab,"{0,0}",,,,JRowl,,
-100,BC17,Lab,"{0,0}",,,,JRowl,,
-100,BC18,,"{0,0}",,,,JRowl,,
-100,BC21,Classroom,"{0,0}",,,,JRowl,,
-100,BC22,,"{0,0}",,,,JRowl,,
-100,BC23,Lab,"{0,0}",,,,JRowl,,
-100,BC29,Lab,"{0,0}",,,,JRowl,,
-100,BC30,,"{0,0}",,,,JRowl,,
-100,BC31,Office,"{0,0}",,,,JRowl,,
-100,BC32,Lab,"{0,0}",,,,JRowl,,
-100,BC36,,"{0,0}",,,,JRowl,,
-100,BC41,Lab,"{0,0}",,,,JRowl,,
-100,BC43,,"{0,0}",,,,JRowl,,
-100,BC44,,"{0,0}",,,,JRowl,,
-100,BC47,Bathroom(M),"{0,0}",,,,JRowl,,
-100,BC49,Closet,"{0,0}",,,,JRowl,,
-100,B-E,Elevator,"{0,0}",,,,JRowl,,
-100,BW00,Hallway,"{0,0}",,,,JRowl,,
-100,BW00A,Stairs,"{0,0}",,,,JRowl,,
-100,BW01,Classroom,"{0,0}",,,,JRowl,,
-100,BW01A,Lab,"{0,0}",,,,JRowl,,
-100,BW01B,Classroom,"{0,0}",,,,JRowl,,
-100,BW01C,Classroom,"{0,0}",,,,JRowl,,
-100,BW02,Lab,"{0,0}",,,,JRowl,,
-100,BW06,,"{0,0}",,,,JRowl,,
-100,BW06-E,Elevator,"{0,0}",,,,JRowl,,
-100,BW08,Hallway,"{0,0}",,,,JRowl,,
-100,BW08A,Hallway,"{0,0}",,,,JRowl,,
-100,BW08B,Stairs,"{0,0}",,,,JRowl,,
-100,BW10,Office,"{0,0}",,,,JRowl,,
-100,BW11,Lab,"{0,0}",,,,JRowl,,
-100,BW11A,Lab,"{0,0}",,,,JRowl,,
-100,BW11B,Lab,"{0,0}",,,,JRowl,,
100,1C00,Hallway,"{0,0}",,,,JRowl,,
100,1C00A,Stairs,"{0,0}",,,,JRowl,,
100,1C00B,Stairs,"{0,0}",,,,JRowl,,
100,1C00C,,"{0,0}",,,,JRowl,,
100,1C01,Office,"{0,0}",,,,JRowl,,
100,1C03,Office,"{0,0}",,,,JRowl,,
100,1C03A,Office,"{0,0}",,,,JRowl,,
100,1C03B,Office,"{0,0}",,,,JRowl,,
100,1C03C,Office,"{0,0}",,,,JRowl,,
100,1C03D,Office,"{0,0}",,,,JRowl,,
100,1C04,Office,"{0,0}",,,,JRowl,,
100,1C05,Office,"{0,0}",,,,JRowl,,
100,1C07,Office,"{0,0}",,,,JRowl,,
100,1C08,Office,"{0,0}",,,,JRowl,,
100,1C09,Office,"{0,0}",,,,JRowl,,
100,1C09A,Office,"{0,0}",,,,JRowl,,
100,1C10,Office,"{0,0}",,,,JRowl,,
100,1C11,Office,"{0,0}",,,,JRowl,,
