floor,room_number,room_type,door_coordinate,accessible_door,inside_accessbility,room_name,building_name,tags,min_stairs_needed
000,001A,Office,"{0,0}",,,,Lally,,
000,001B,Office,"{0,0}",,,,Lally,,
000,02,,"{0,0}",,,,Lally,,
000,02A,Closet,"{0,0}",,,,Lally,,
000,003,Office,"{0,0}",,,,Lally,,
000,004,Office,"{0,0}",,,,Lally,,
000,005A,,"{0,0}",,,,Lally,,
000,006,,"{0,0}",,,,Lally,,
000,007,Lab,"{0,0}",,,,Lally,,
000,008,Office,"{0,0}",,,,Lally,,
000,008A,Office,"{0,0}",,,,Lally,,
000,008B,Office,"{0,0}",,,,Lally,,
000,009B,Office,"{0,0}",,,,Lally,,
000,009,Office,"{0,0}",,,,Lally,,
000,009A,Office,"{0,0}",,,,Lally,,
000,011A,Hallway,"{0,0}",,,,Lally,,
000,012A,Closet,"{0,0}",,,,Lally,,
000,012,Closet,"{0,0}",,,,Lally,,
000,015,Hallway,"{0,0}",,,,Lally,,
000,013,Bathroom(M),"{0,0}",,,,Lally,,
000,014,Closet,"{0,0}",,,,Lally,,
000,015A,Stairs,"{0,0}",,,,Lally,,
100,105A,Stairs,"{0,0}",,,,Lally,,
100,105B,Stairs,"{0,0}",,,,Lally,,
100,105C,,"{0,0}",,,,Lally,,
100,105D,,"{0,0}",,,,Lally,,
100,105G,Closet,"{0,0}",,,,Lally,,
100,102A,Closet,"{0,0}",,,,Lally,,
100,102B,Closet,"{0,0}",,,,Lally,,
100,102C,Closet,"{0,0}",,,,Lally,,
100,102,Classroom,"{0,0}",,,,Lally,,
100,104A,Closet,"{0,0}",,,,Lally,,
100,104,Classroom,"{0,0}",,,,Lally,,
200,201,Bathroom(M),"{0,0}",,,,Lally,,
200,201A,Bathroom(M),"{0,0}",,,,Lally,,
200,202,Office,"{0,0}",,,,Lally,,
200,203,Office,"{0,0}",,,,Lally,,
200,204,Office,"{0,0}",,,,Lally,,
200,205A,Office,"{0,0}",,,,Lally,,
200,205B,Office,"{0,0}",,,,Lally,,
200,205,Office,"{0,0}",,,,Lally,,
200,206,Office,"{0,0}",,,,Lally,,
200,207A,Office,"{0,0}",,,,Lally,,
200,207,Office,"{0,0}",,,,Lally,,
200,208,Office,"{0,0}",,,,Lally,,
200,209A,Office,"{0,0}",,,,Lally,,
200,209B,Office,"{0,0}",,,,Lally,,
200,209,Office,"{0,0}",,,,Lally,,
200,209C,Office,"{0,0}",,,,Lally,,
200,210,Office,"{0,0}",,,,Lally,,
200,211,Bathroom(W),"{0,0}",,,,Lally,,
200,213,Closet,"{0,0}",,,,Lally,,
200,214A,Stairs,"{0,0}",,,,Lally,,
200,214,Hallway,"{0,0}",,,,Lally,,
200,212A,Closet,"{0,0}",,,,Lally,,
200,212,Hallway,"{0,0}",,,,Lally,,
200,214B,,"{0,0}",,,,Lally,,
300,301,Office,"{0,0}",,,,Lally,,
300,302,Office,"{0,0}",,,,Lally,,
300,303,Closet,"{0,0}",,,,Lally,,
300,304,Office,"{0,0}",,,,Lally,,
300,305,Office,"{0,0}",,,,Lally,,
300,306,Office,"{0,0}",,,,Lally,,
300,307,Office,"{0,0}",,,,Lally,,
300,308,Office,"{0,0}",,,,Lally,,
300,309,Office,"{0,0}",,,,Lally,,
300,310,Office,"{0,0}",,,,Lally,,
300,311,,"{0,0}",,,,Lally,,
300,312,Office,"{0,0}",,,,Lally,,
300,313,Office,"{0,0}",,,,Lally,,
300,314,Office,"{0,0}",,,,Lally,,
300,320,,"{0,0}",,,,Lally,,
300,315,Office,"{0,0}",,,,Lally,,
300,316,Office,"{0,0}",,,,Lally,,
300,317,Office,"{0,0}",,,,Lally,,
300,318,,"{0,0}",,,,Lally,,
300,319,Closet,"{0,0}",,,,Lally,,
300,322,Hallway,"{0,0}",,,,Lally,,
300,322A,Hallway,"{0,0}",,,,Lally,,
300,322B,Stairs,"{0,0}",,,,Lally,,
300,321,Closet,"{0,0}",,,,Lally,,
