floor,room_number,room_type,door_coordinate,accessible_door,inside_accessbility,room_name,building_name,tags
1000,1S10,Stairs,"{0,0}",,,,Low/CII,
1000,1027,Lab,"{0,0}",,,,Low/CII,
1000,1050,,"{0,0}",,,,Low/CII,
1000,1027D,,"{0,0}",,,,Low/CII,
1000,1027C,,"{0,0}",,,,Low/CII,
1000,1044,Lab,"{0,0}",,,,Low/CII,
1000,1038,Lab,"{0,0}",,,,Low/CII,
1000,1032,Lab,"{0,0}",,,,Low/CII,
1000,1028,Lab,"{0,0}",,,,Low/CII,
1000,1024,,"{0,0}",,,,Low/CII,
1000,1022,,"{0,0}",,,,Low/CII,
1000,1023,,"{0,0}",,,,Low/CII,
1000,1PE3,Elevator,"{0,0}",,,,Low/CII,
1000,1S08,Stairs,"{0,0}",,,,Low/CII,
1000,1028,Office,"{0,0}",,,,Low/CII,
1000,1027F,Office,"{0,0}",,,,Low/CII,
1000,1027A,,"{0,0}",,,,Low/CII,
1000,1027B,Lab,"{0,0}",,,,Low/CII,
1000,1027G,,"{0,0}",,,,Low/CII,
1000,1027E,,"{0,0}",,,,Low/CII,
2000,2045,Office,"{0,0}",,,,Low/CII,
2000,2087A,Office,"{0,0}",,,,Low/CII,
2000,2054,,"{0,0}",,,,Low/CII,
2000,2006A,Hallway,"{0,0}",,,,Low/CII,
2000,2037,,"{0,0}",,,,Low/CII,
2000,2033,Lab,"{0,0}",,,,Low/CII,
2000,2000,Hallway,"{0,0}",,,,Low/CII,
2000,2029,Hallway,"{0,0}",,,,Low/CII,
2000,2PE3,Elevator,"{0,0}",,,,Low/CII,
2000,2306,,"{0,0}",,,,Low/CII,
2000,2027,Lab,"{0,0}",,,,Low/CII,
2000,2025,,"{0,0}",,,,Low/CII,
2000,2025A,,"{0,0}",,,,Low/CII,
2000,2023,,"{0,0}",,,,Low/CII,
2000,2023A,,"{0,0}",,,,Low/CII,
2000,2022,,"{0,0}",,,,Low/CII,
2000,2PE2,Elevator,"{0,0}",,,,Low/CII,
2000,2217,Lab,"{0,0}",,,,Low/CII,
2000,2S01,Stairs,"{0,0}",,,,Low/CII,
2000,2206A,,"{0,0}",,,,Low/CII,
2000,2215,,"{0,0}",,,,Low/CII,
2000,2PE1,Elevator,"{0,0}",,,,Low/CII,
2000,2323,,"{0,0}",,,,Low/CII,
2000,2343,,"{0,0}",,,,Low/CII,
2000,2300,,"{0,0}",,,,Low/CII,
2000,2305,Stairs,"{0,0}",,,,Low/CII,
3000,3050,Classroom,"{0,0}",,,,Low/CII,
3000,3061,,"{0,0}",,,,Low/CII,
3000,3307,,"{0,0}",,,,Low/CII,
3000,3060,,"{0,0}",,,,Low/CII,
3000,3045,Classroom,"{0,0}",,,,Low/CII,
3000,3035,Classroom,"{0,0}",,,,Low/CII,
3000,3038,,"{0,0}",,,,Low/CII,
3000,3000A,Hallway,"{0,0}",,,,Low/CII,
3000,3080,,"{0,0}",,,,Low/CII,
3000,3029,,"{0,0}",,,,Low/CII,
3000,3027,,"{0,0}",,,,Low/CII,
3000,3PE3,Elevator,"{0,0}",,,,Low/CII,
3000,3306,Stairs,"{0,0}",,,,Low/CII,
3000,3023,,"{0,0}",,,,Low/CII,
3000,3301,Stairs,"{0,0}",,,,Low/CII,
3000,3501,,"{0,0}",,,,Low/CII,
3000,3501A,,"{0,0}",,,,Low/CII,
3000,3PE1,Elevator,"{0,0}",,,,Low/CII,
3000,3PE2,Elevator,"{0,0}",,,,Low/CII,
3000,3000,,"{0,0}",,,,Low/CII,
3000,3101,Office,"{0,0}",,,,Low/CII,
3000,3111,Office,"{0,0}",,,,Low/CII,
3000,3113,Office,"{0,0}",,,,Low/CII,
3000,3119,Office,"{0,0}",,,,Low/CII,
3000,3123,Office,"{0,0}",,,,Low/CII,
3000,3125,Office,"{0,0}",,,,Low/CII,
3000,3129,Office,"{0,0}",,,,Low/CII,
3000,3302,Stairs,"{0,0}",,,,Low/CII,
3000,3135B,,"{0,0}",,,,Low/CII,
3000,3139,Office,"{0,0}",,,,Low/CII,
3000,3135A,,"{0,0}",,,,Low/CII,
3000,3145,Office,"{0,0}",,,,Low/CII,
3000,3157.01,Office,"{0,0}",,,,Low/CII,
3000,3147.02,Office,"{0,0}",,,,Low/CII,
3000,3151,Office,"{0,0}",,,,Low/CII,
3000,3157,Office,"{0,0}",,,,Low/CII,
3000,3100,Hallway,"{0,0}",,,,Low/CII,
3000,3158,Office,"{0,0}",,,,Low/CII,
3000,3165,Office,"{0,0}",,,,Low/CII,
3000,3157.01,Office,"{0,0}",,,,Low/CII,
3000,3157.02,Office,"{0,0}",,,,Low/CII,
3000,3S03,Stairs,"{0,0}",,,,Low/CII,
3000,3100A,,"{0,0}",,,,Low/CII,
3000,3290,,"{0,0}",,,,Low/CII,
3000,3274,,"{0,0}",,,,Low/CII,
3000,3278,,"{0,0}",,,,Low/CII,
3000,3290A,,"{0,0}",,,,Low/CII,
3000,3276,,"{0,0}",,,,Low/CII,
3000,3273,,"{0,0}",,,,Low/CII,
3000,3021,,"{0,0}",,,,Low/CII,
3000,3238,,"{0,0}",,,,Low/CII,
3000,3273,,"{0,0}",,,,Low/CII,
3000,3273A,,"{0,0}",,,,Low/CII,
3000,3804,,"{0,0}",,,,Low/CII,
3000,3257,,"{0,0}",,,,Low/CII,
3000,3265,,"{0,0}",,,,Low/CII,
3000,3259,,"{0,0}",,,,Low/CII,
3000,3200,Hallway,"{0,0}",,,,Low/CII,
3000,3243,,"{0,0}",,,,Low/CII,
3000,3239,,"{0,0}",,,,Low/CII,
3000,3235,,"{0,0}",,,,Low/CII,
3000,3PE1,Elevator,"{0,0}",,,,Low/CII,
3000,3300,Hallway,"{0,0}",,,,Low/CII,
3000,3S05,Stairs,"{0,0}",,,,Low/CII,
3000,3311,Bathroom(M),"{0,0}",,,,Low/CII,
3000,3311A,,"{0,0}",,,,Low/CII,
3000,3307,Bathroom(W),"{0,0}",,,,Low/CII,
3000,3307A,,"{0,0}",,,,Low/CII,
3000,3112,,"{0,0}",,,,Low/CII,
3000,3116,,"{0,0}",,,,Low/CII,
3000,3130,,"{0,0}",,,,Low/CII,
3000,3206,,"{0,0}",,,,Low/CII,
3000,3226,,"{0,0}",,,,Low/CII,
3000,3319A,,"{0,0}",,,,Low/CII,
3000,3319B,,"{0,0}",,,,Low/CII,
3000,3315,,"{0,0}",,,,Low/CII,
3000,3321,,"{0,0}",,,,Low/CII,
3000,3200A,,"{0,0}",,,,Low/CII,
3000,3225.01,,"{0,0}",,,,Low/CII,
3000,3225.02,,"{0,0}",,,,Low/CII,
3000,3215,,"{0,0}",,,,Low/CII,
3000,3213,,"{0,0}",,,,Low/CII,
3000,3211,,"{0,0}",,,,Low/CII,
