floor,room_number,room_type,door_coordinate,accessible_door,inside_accessbility,room_name,building_name,tags
000,000A,Hallway,"{0,0}",,,,MRC,
000,000B,Hallway,"{0,0}",,,,MRC,
000,000C,Hallway,"{0,0}",,,,MRC,
000,000D,Hallway,"{0,0}",,,,MRC,
000,000E,Elevator,"{0,0}",,,,MRC,
000,1,Hallway,"{0,0}",,,,MRC,
000,001A,Lab,"{0,0}",,,,MRC,
000,001B.01,Closet,"{0,0}",,,,MRC,
000,001B.02,Closet,"{0,0}",,,,MRC,
000,001C,Lab,"{0,0}",,,,MRC,
000,001D,Lab,"{0,0}",,,,MRC,
000,001E,Closet,"{0,0}",,,,MRC,
000,001F,Lab,"{0,0}",,,,MRC,
000,001H,Lab,"{0,0}",,,,MRC,
000,001I,Lab,"{0,0}",,,,MRC,
000,2,Closet,"{0,0}",,,,MRC,
000,002A,Closet,"{0,0}",,,,MRC,
000,002B,Closet,"{0,0}",,,,MRC,
000,3,Closet,"{0,0}",,,,MRC,
000,4,Closet,"{0,0}",,,,MRC,
000,5,Lab,"{0,0}",,,,MRC,
000,005A,Closet,"{0,0}",,,,MRC,
000,6,Closet,"{0,0}",,,,MRC,
000,7,Closet,"{0,0}",,,,MRC,
000,8,Closet,"{0,0}",,,,MRC,
000,9,Closet,"{0,0}",,,,MRC,
100,100A,Stairs,"{0,0}",,,,MRC,
100,100B,Stairs,"{0,0}",,,,MRC,
100,102,Office,"{0,0}",,,,MRC,
100,103,Office,"{0,0}",,,,MRC,
100,104,Office,"{0,0}",,,,MRC,
100,105,Hallway,"{0,0}",,,,MRC,
100,106,Office,"{0,0}",,,,MRC,
100,107,Office,"{0,0}",,,,MRC,
100,108,Office,"{0,0}",,,,MRC,
100,109A,Office,"{0,0}",,,,MRC,
100,109B,Office,"{0,0}",,,,MRC,
100,109C,Office,"{0,0}",,,,MRC,
100,110,Office,"{0,0}",,,,MRC,
100,111,Office,"{0,0}",,,,MRC,
100,112,Office,"{0,0}",,,,MRC,
100,113,Office,"{0,0}",,,,MRC,
100,114,Office,"{0,0}",,,,MRC,
100,115,Office,"{0,0}",,,,MRC,
100,116,Hallway,"{0,0}",,,,MRC,
100,117A,Office,"{0,0}",,,,MRC,
100,117B,Office,"{0,0}",,,,MRC,
100,118,,"{0,0}",,,,MRC,
100,118A,Closet,"{0,0}",,,,MRC,
100,118B,Closet,"{0,0}",,,,MRC,
100,119,Lab,"{0,0}",,,,MRC,
100,120,Lab,"{0,0}",,,,MRC,
100,121,Lab,"{0,0}",,,,MRC,
100,122A,Lab,"{0,0}",,,,MRC,
100,122B,Lab,"{0,0}",,,,MRC,
100,122C,Lab,"{0,0}",,,,MRC,
100,123,Lab,"{0,0}",,,,MRC,
100,124,Lab,"{0,0}",,,,MRC,
100,125,Lab,"{0,0}",,,,MRC,
100,126,Lab,"{0,0}",,,,MRC,
100,127,Lab,"{0,0}",,,,MRC,
100,128,Lab,"{0,0}",,,,MRC,
100,130,Office,"{0,0}",,,,MRC,
100,130A,Lab,"{0,0}",,,,MRC,
100,131,Lab,"{0,0}",,,,MRC,
100,132,Hallway,"{0,0}",,,,MRC,
100,134,,"{0,0}",,,,MRC,
100,135,,"{0,0}",,,,MRC,
100,136,Classroom,"{0,0}",,,,MRC,
100,137,Lab,"{0,0}",,,,MRC,
100,137A,Office,"{0,0}",,,,MRC,
100,138,Lab,"{0,0}",,,,MRC,
100,139,Lab,"{0,0}",,,,MRC,
100,140,Office,"{0,0}",,,,MRC,
100,141,Office,"{0,0}",,,,MRC,
100,142.02,Office,"{0,0}",,,,MRC,
100,142.01,Office,"{0,0}",,,,MRC,
100,143,Hallway,"{0,0}",,,,MRC,
100,144,Closet,"{0,0}",,,,MRC,
100,145,Bathroom(N),"{0,0}",,,,MRC,
100,147,Lab,"{0,0}",,,,MRC,
100,147A,Lab,"{0,0}",,,,MRC,
100,148A,,"{0,0}",,,,MRC,
100,148B,,"{0,0}",,,,MRC,
100,148C,,"{0,0}",,,,MRC,
100,149,Lab,"{0,0}",,,,MRC,
100,151,Lab,"{0,0}",,,,MRC,
100,152A,Office,"{0,0}",,,,MRC,
100,152B,Office,"{0,0}",,,,MRC,
100,152C,Office,"{0,0}",,,,MRC,
100,154,Hallway,"{0,0}",,,,MRC,
100,155,Closet,"{0,0}",,,,MRC,
100,156,Bathroom(N),"{0,0}",,,,MRC,
100,158,Lab,"{0,0}",,,,MRC,
100,159,Lab,"{0,0}",,,,MRC,
100,161A,Lab,"{0,0}",,,,MRC,
100,160,Lab,"{0,0}",,,,MRC,
100,161,Lab,"{0,0}",,,,MRC,
100,162,Lab,"{0,0}",,,,MRC,
100,163,Lab,"{0,0}",,,,MRC,
100,164,Lab,"{0,0}",,,,MRC,
100,165,Lab,"{0,0}",,,,MRC,
100,166,Lab,"{0,0}",,,,MRC,
100,166A,Lab,"{0,0}",,,,MRC,
100,167,Lab,"{0,0}",,,,MRC,
100,168,Lab,"{0,0}",,,,MRC,
100,169,Lab,"{0,0}",,,,MRC,
100,170,Lab,"{0,0}",,,,MRC,
100,171,Lab,"{0,0}",,,,MRC,
100,172,Lab,"{0,0}",,,,MRC,
100,173,Lab,"{0,0}",,,,MRC,
100,174,Lab,"{0,0}",,,,MRC,
100,175,Lab,"{0,0}",,,,MRC,
100,176A,Closet,"{0,0}",,,,MRC,
100,177,Hallway,"{0,0}",,,,MRC,
100,178,Bathroom,"{0,0}",,,,MRC,
200,200A,Stairs,"{0,0}",,,,MRC,
200,201,Office,"{0,0}",,,,MRC,
200,202,Office,"{0,0}",,,,MRC,
200,203,Office,"{0,0}",,,,MRC,
200,204,Office,"{0,0}",,,,MRC,
200,205,Office,"{0,0}",,,,MRC,
200,206,Office,"{0,0}",,,,MRC,
200,207,Office,"{0,0}",,,,MRC,
200,208A,Office,"{0,0}",,,,MRC,
200,208B,Office,"{0,0}",,,,MRC,
200,209,Office,"{0,0}",,,,MRC,
200,210,Office,"{0,0}",,,,MRC,
200,211,Office,"{0,0}",,,,MRC,
200,212,Office,"{0,0}",,,,MRC,
200,213,Office,"{0,0}",,,,MRC,
200,214,Office,"{0,0}",,,,MRC,
200,215,Office,"{0,0}",,,,MRC,
200,216,Office,"{0,0}",,,,MRC,
200,,,"{0,0}",,,,MRC,
200,218,Office,"{0,0}",,,,MRC,
200,219,Hallway,"{0,0}",,,,MRC,
200,219A,Hallway,"{0,0}",,,,MRC,
200,220,Lab,"{0,0}",,,,MRC,
200,221,Lab,"{0,0}",,,,MRC,
200,222,Lab,"{0,0}",,,,MRC,
200,223,Lab,"{0,0}",,,,MRC,
200,224,Lab,"{0,0}",,,,MRC,
200,225,Lab,"{0,0}",,,,MRC,
200,226,Lab,"{0,0}",,,,MRC,
200,227,Lab,"{0,0}",,,,MRC,
200,228,Lab,"{0,0}",,,,MRC,
200,229,Lab,"{0,0}",,,,MRC,
200,230,Office,"{0,0}",,,,MRC,
200,232,Office,"{0,0}",,,,MRC,
200,233,Office,"{0,0}",,,,MRC,
200,233B,Office,"{0,0}",,,,MRC,
200,233A,Office,"{0,0}",,,,MRC,
200,234,Lab,"{0,0}",,,,MRC,
200,235,Lab,"{0,0}",,,,MRC,
200,235A,Lab,"{0,0}",,,,MRC,
200,236A,Lab,"{0,0}",,,,MRC,
200,236B,Lab,"{0,0}",,,,MRC,
200,236,Lab,"{0,0}",,,,MRC,
200,237,Lab,"{0,0}",,,,MRC,
200,238A,Lab,"{0,0}",,,,MRC,
200,238B,Lab,"{0,0}",,,,MRC,
200,238,Lab,"{0,0}",,,,MRC,
200,238C,Classroom,"{0,0}",,,,MRC,
200,239,Closet,"{0,0}",,,,MRC,
200,240,Bathroom,"{0,0}",,,,MRC,
200,241,Lab,"{0,0}",,,,MRC,
200,243A,Office,"{0,0}",,,,MRC,
200,243B,Lab,"{0,0}",,,,MRC,
200,243C,Office,"{0,0}",,,,MRC,
200,243,Lab,"{0,0}",,,,MRC,
200,245,Lab,"{0,0}",,,,MRC,
200,246,Lab,"{0,0}",,,,MRC,
200,247,Lab,"{0,0}",,,,MRC,
200,248,Lab,"{0,0}",,,,MRC,
200,249,Lab,"{0,0}",,,,MRC,
200,250A,Office,"{0,0}",,,,MRC,
200,250B,Office,"{0,0}",,,,MRC,
200,250C,Office,"{0,0}",,,,MRC,
200,251,Hallway,"{0,0}",,,,MRC,
200,252,Closet,"{0,0}",,,,MRC,
200,253,Bathroom,"{0,0}",,,,MRC,
200,254,Closet,"{0,0}",,,,MRC,
200,257,Lab,"{0,0}",,,,MRC,
200,258,Lab,"{0,0}",,,,MRC,
200,259,Lab,"{0,0}",,,,MRC,
200,260,Lab,"{0,0}",,,,MRC,
200,261,Lab,"{0,0}",,,,MRC,
200,262,Lab,"{0,0}",,,,MRC,
200,263,Lab,"{0,0}",,,,MRC,
200,264,Lab,"{0,0}",,,,MRC,
200,265,Lab,"{0,0}",,,,MRC,
200,266,Lab,"{0,0}",,,,MRC,
200,266A,Lab,"{0,0}",,,,MRC,
200,267,Hallway,"{0,0}",,,,MRC,
200,268,Lab,"{0,0}",,,,MRC,
200,269,Lab,"{0,0}",,,,MRC,
200,269A,Lab,"{0,0}",,,,MRC,
200,270,Lab,"{0,0}",,,,MRC,
200,271,Lab,"{0,0}",,,,MRC,
200,272,Lab,"{0,0}",,,,MRC,
200,273,Lab,"{0,0}",,,,MRC,
200,274,Hallway,"{0,0}",,,,MRC,
200,274A,Office,"{0,0}",,,,MRC,
200,274B,Office,"{0,0}",,,,MRC,
