@,,,,,,,,,,,,
,List of Buildings in our definition of campus:,Entrance Position,,,Room Types:,,,,,,,
,87 Gym,,,,Classroom,Office,Hallway,Bathroom,Staircase,Lecture Hall,Elevator,Closet
,Academy,,,,,,ramp,Big stall,,stairs,"""scary"" elevator",
,Amos Eaton,,,,,,steps,,,"where is entrance (top of stairs, bottom of stairs?)",,
,Armory,,,,,,,,,,,
,Carnegie,,,,,,,,,,,
,CBIS,,,,,,,,,,,
,Commons,,,,,,,,,,,
,DCC,,,,,,,,,,,
,EMPAC,,,,,,,,,,,
,J-Building,,,,,,,,,,,
,JEC,,,,,,,,,,,
,JRowl,,,,,,,,,,,
,Lally,,,,Edges:,,,,,,,
,Low,,,,Doors,Doorways,,,,,,
,Meuller Center,,,,wheelchair button,,,,,,,
,MRC,,,,,,,,,,,
,Pittsburgh,,,,,,,,,,,
,Playhouse,,,,,,,,,,,
,Ricketts,,,,,,,,,,,
,RSDH,,,,,,,,,,,
,Sage Labs,,,,,,,,,,,
,Troy,,,,,,,,,,,
,Union,,,,,,,,,,,
,Walker,,,,,,,,,,,
,West Hall,,,,,,,,,,,
