floor,room_number,room_type,door_coordinate,accessible_door,inside_accessbility,room_name,building_name,tags
-100,B04,,"{0,0}",,,,Ricketts,
-100,B02,,"{0,0}",,,,Ricketts,
-100,B-E,Elevator,"{0,0}",,,,Ricketts,
-100,B05,,"{0,0}",,,,Ricketts,
-100,B01,,"{0,0}",,,,Ricketts,
-100,B03,Stairs,"{0,0}",,,,Ricketts,
-100,B00A,,"{0,0}",,,,Ricketts,
000,011,Hallway,"{0,0}",,,,Ricketts,
000,001B,Hallway,"{0,0}",,,,Ricketts,
000,002,,"{0,0}",,,,Ricketts,
000,004,,"{0,0}",,,,Ricketts,
000,004A,,"{0,0}",,,,Ricketts,
000,005,,"{0,0}",,,,Ricketts,
000,006,,"{0,0}",,,,Ricketts,
000,006A,,"{0,0}",,,,Ricketts,
000,007,,"{0,0}",,,,Ricketts,
000,010,,"{0,0}",,,,Ricketts,
000,010A,,"{0,0}",,,,Ricketts,
000,001E,,"{0,0}",,,,Ricketts,
000,009,,"{0,0}",,,,Ricketts,
000,009A,Stairs,"{0,0}",,,,Ricketts,
000,008A,,"{0,0}",,,,Ricketts,
000,008,,"{0,0}",,,,Ricketts,
000,008B,Office,"{0,0}",,,,Ricketts,
000,001A,Stairs,"{0,0}",,,,Ricketts,
000,0-E,Elevator,"{0,0}",,,,Ricketts,
000,015,Bathroom(M),"{0,0}",,,,Ricketts,
000,001C,,"{0,0}",,,,Ricketts,
000,014,,"{0,0}",,,,Ricketts,
100,,,"{0,0}",,,,Ricketts,
100,1-E,Elevator,"{0,0}",,,,Ricketts,
100,100,Hallway,"{0,0}",,,,Ricketts,
100,100A,Hallway,"{0,0}",,,,Ricketts,
100,100B,Hallway,"{0,0}",,,,Ricketts,
100,100C,Stairs,"{0,0}",,,,Ricketts,
100,100D,Lab,"{0,0}",,,,Ricketts,
100,101A,Office,"{0,0}",,,,Ricketts,
100,101B,Closet,"{0,0}",,,,Ricketts,
100,101C,Closet,"{0,0}",,,,Ricketts,
100,101D,,"{0,0}",,,,Ricketts,
100,101E,Classroom,"{0,0}",,,,Ricketts,
100,101,Lab,"{0,0}",,,,Ricketts,
100,102,,"{0,0}",,,,Ricketts,
100,102A,,"{0,0}",,,,Ricketts,
100,102B,Office,"{0,0}",,,,Ricketts,
100,102C,Office,"{0,0}",,,,Ricketts,
100,102D,Office,"{0,0}",,,,Ricketts,
100,102E,Office,"{0,0}",,,,Ricketts,
100,102F,Office,"{0,0}",,,,Ricketts,
100,103,Office,"{0,0}",,,,Ricketts,
100,104,Office,"{0,0}",,,,Ricketts,
100,105,Office,"{0,0}",,,,Ricketts,
100,106,Office,"{0,0}",,,,Ricketts,
100,120,,"{0,0}",,,Coonley Lounge,Ricketts,
100,121,Office,"{0,0}",,,,Ricketts,
100,122,Office,"{0,0}",,,,Ricketts,
100,123,Office,"{0,0}",,,,Ricketts,
100,124,Office,"{0,0}",,,,Ricketts,
100,125,Office,"{0,0}",,,,Ricketts,
100,126,Office,"{0,0}",,,,Ricketts,
100,126A,Office,"{0,0}",,,,Ricketts,
100,127,Office,"{0,0}",,,,Ricketts,
100,128,Stairs,"{0,0}",,,,Ricketts,
100,129,Office,"{0,0}",,,,Ricketts,
100,129A,Office,"{0,0}",,,,Ricketts,
100,130,Office,"{0,0}",,,,Ricketts,
