floor,room_number,room_type,door_coordinate,accessible_door,inside_accessbility,room_name,building_name,tags
1000,1100,Hallway,"{0,0}",,,,Sage,
1000,1101,Lab,"{0,0}",,,,Sage,
1000,1101A,Lab,"{0,0}",,,,Sage,
1000,1107,Lab,"{0,0}",,,,Sage,
1000,1110,Stairs,"{0,0}",,,,Sage,
1000,1110A,Closet,"{0,0}",,,,Sage,
1000,1110B,Hallway,"{0,0}",,,,Sage,
1000,1110C,Hallway,"{0,0}",,,,Sage,
1000,1112,Lab,"{0,0}",,,,Sage,
1000,1200,Hallway,"{0,0}",,,,Sage,
1000,1201,Lab,"{0,0}",,,,Sage,
1000,1202,Lab,"{0,0}",,,,Sage,
1000,1209,,"{0,0}",,,,Sage,
1000,1209A,Closet,"{0,0}",,,,Sage,
1000,1209B,Elevator,"{0,0}",,,,Sage,
1000,1210,Lab,"{0,0}",,,,Sage,
1000,1210A,,"{0,0}",,,,Sage,
1000,1210B,Closet,"{0,0}",,,,Sage,
1000,1210C,Lab,"{0,0}",,,,Sage,
1000,1211,Lab,"{0,0}",,,,Sage,
1000,1217,Hallway,"{0,0}",,,,Sage,
1000,1219,Office,"{0,0}",,,,Sage,
1000,1301,Classroom,"{0,0}",,,,Sage,
1000,1301A,Stairs,"{0,0}",,,,Sage,
1000,1301B,Stairs,"{0,0}",,,,Sage,
1000,1301C,Lab,"{0,0}",,,,Sage,
1000,1301D,Closet,"{0,0}",,,,Sage,
1000,1303,Lab,"{0,0}",,,,Sage,
1000,1305,Lab,"{0,0}",,,,Sage,
1000,1305A,Lab,"{0,0}",,,,Sage,
1000,1307,Lab,"{0,0}",,,,Sage,
2000,2103,Office,"{0,0}",,,,Sage,
2000,2104,Office,"{0,0}",,,,Sage,
2000,2110,Stairs,"{0,0}",,,,Sage,
2000,2112,Classroom,"{0,0}",,,,Sage,
2000,2105.01,Office,"{0,0}",,,,Sage,
2000,2110A,Closet,"{0,0}",,,,Sage,
2000,2105,Office,"{0,0}",,,,Sage,
2000,2102,Office,"{0,0}",,,,Sage,
2000,2101,Office,"{0,0}",,,,Sage,
2000,2106.02,Office,"{0,0}",,,,Sage,
2000,2110A,Closet,"{0,0}",,,,Sage,
2000,2100,Hallway,"{0,0}",,,,Sage,
2000,2211B,Office,"{0,0}",,,,Sage,
2000,2201C,Office,"{0,0}",,,,Sage,
2000,2201A,Office,"{0,0}",,,,Sage,
2000,2201B,Office,"{0,0}",,,,Sage,
2000,2200,Hallway,"{0,0}",,,,Sage,
2000,2202,Classroom,"{0,0}",,,,Sage,
2000,2202B,Classroom,"{0,0}",,,,Sage,
2000,2201,Office,"{0,0}",,,,Sage,
2000,2211,Classroom,"{0,0}",,,,Sage,
2000,2200B,,"{0,0}",,,,Sage,
2000,2211A,Classroom,"{0,0}",,,,Sage,
2000,2200A,Hallway,"{0,0}",,,,Sage,
2000,2209A,Closet,"{0,0}",,,,Sage,
2000,2209,Hallway,"{0,0}",,,,Sage,
2000,2202A,Lab,"{0,0}",,,,Sage,
2000,2209B,Elevator,"{0,0}",,,,Sage,
2000,2300A,Office,"{0,0}",,,,Sage,
2000,2300D,Lab,"{0,0}",,,,Sage,
2000,2300B,,"{0,0}",,,,Sage,
2000,2302,Bathroom(W),"{0,0}",,,,Sage,
2000,2301,Hallway,"{0,0}",,,,Sage,
2000,2300,Hallway,"{0,0}",,,,Sage,
2000,2300C,Hallway,"{0,0}",,,,Sage,
2000,2304,Closet,"{0,0}",,,,Sage,
2000,2313,Office,"{0,0}",,,,Sage,
2000,2317,Office,"{0,0}",,,,Sage,
2000,2303,Lab,"{0,0}",,,,Sage,
2000,2300E,Office,"{0,0}",,,,Sage,
2000,2306,Bathroom(M),"{0,0}",,,,Sage,
2000,2401,Stairs,"{0,0}",,,,Sage,
2000,2401A,Closet,"{0,0}",,,,Sage,
2000,2401B,Closet,"{0,0}",,,,Sage,
2000,2400A,Hallway,"{0,0}",,,,Sage,
2000,2400,Hallway,"{0,0}",,,,Sage,
2000,2411,Lab,"{0,0}",,,,Sage,
2000,2402,Office,"{0,0}",,,,Sage,
2000,2404,Office,"{0,0}",,,,Sage,
2000,2406,Office,"{0,0}",,,,Sage,
2000,2408,Office,"{0,0}",,,,Sage,
2000,2410,Office,"{0,0}",,,,Sage,
2000,2500B,Hallway,"{0,0}",,,,Sage,
2000,2502,Office,"{0,0}",,,,Sage,
2000,2502A,Office,"{0,0}",,,,Sage,
2000,2504,Office,"{0,0}",,,,Sage,
2000,2506,Office,"{0,0}",,,,Sage,
2000,2502B,Office,"{0,0}",,,,Sage,
2000,2508,Office,"{0,0}",,,,Sage,
2000,2510,Lab,"{0,0}",,,,Sage,
2000,2500,Hallway,"{0,0}",,,,Sage,
2000,2500A,Hallway,"{0,0}",,,,Sage,
2000,2601,Closet,"{0,0}",,,,Sage,
2000,2600,Hallway,"{0,0}",,,,Sage,
2000,2600A,Hallway,"{0,0}",,,,Sage,
2000,2600B,Stairs,"{0,0}",,,,Sage,
2000,2700,Hallway,"{0,0}",,,,Sage,
2000,2701,Classroom,"{0,0}",,,,Sage,
2000,2702,,"{0,0}",,,,Sage,
2000,2704,Classroom,"{0,0}",,,,Sage,
2000,2715,Classroom,"{0,0}",,,,Sage,
3000,3100,Hallway,"{0,0}",,,,Sage,
3000,3101,Classroom,"{0,0}",,,,Sage,
3000,3110,Stairs,"{0,0}",,,,Sage,
3000,3110A,Closet,"{0,0}",,,,Sage,
3000,3118,Office,"{0,0}",,,,Sage,
3000,3201,Office,"{0,0}",,,,Sage,
3000,3202,Office,"{0,0}",,,,Sage,
3000,3203,Office,"{0,0}",,,,Sage,
3000,3204,Office,"{0,0}",,,,Sage,
3000,3204A,Hallway,"{0,0}",,,,Sage,
3000,3204B,Office,"{0,0}",,,,Sage,
3000,3205,,"{0,0}",,,,Sage,
3000,3206,Office,"{0,0}",,,,Sage,
3000,3208,Office,"{0,0}",,,,Sage,
3000,3209,Hallway,"{0,0}",,,,Sage,
3000,3209A,Closet,"{0,0}",,,,Sage,
3000,3209B,Elevator,"{0,0}",,,,Sage,
3000,3210,Office,"{0,0}",,,,Sage,
3000,3200,Hallway,"{0,0}",,,,Sage,
3000,3300,,"{0,0}",,,,Sage,
3000,3303,Lecture_Hall,"{0,0}",,,,Sage,
3000,3303E,,"{0,0}",,,,Sage,
3000,3304,,"{0,0}",,,,Sage,
3000,3303C,Closet,"{0,0}",,,,Sage,
3000,3303D,Closet,"{0,0}",,,,Sage,
3000,3400A,Hallway,"{0,0}",,,,Sage,
3000,3401,Stairs,"{0,0}",,,,Sage,
3000,3402,Office,"{0,0}",,,,Sage,
3000,3403,,"{0,0}",,,,Sage,
3000,3404,Office,"{0,0}",,,,Sage,
3000,3405,Office,"{0,0}",,,,Sage,
3000,3406,Office,"{0,0}",,,,Sage,
3000,3406A,Hallway,"{0,0}",,,,Sage,
3000,3406B,Office,"{0,0}",,,,Sage,
3000,3400,Hallway,"{0,0}",,,,Sage,
3000,3407,Office,"{0,0}",,,,Sage,
3000,3407A,Hallway,"{0,0}",,,,Sage,
3000,3408,Office,"{0,0}",,,,Sage,
3000,3409,Bathroom(M),"{0,0}",,,,Sage,
3000,3409A,Closet,"{0,0}",,,,Sage,
3000,3410,Office,"{0,0}",,,,Sage,
3000,3502,Office,"{0,0}",,,,Sage,
3000,3504,Office,"{0,0}",,,,Sage,
3000,3506,Office,"{0,0}",,,,Sage,
3000,3508,Office,"{0,0}",,,,Sage,
