floor,room_number,room_type,door_coordinate,accessible_door,inside_accessbility,room_name,building_name,tags,min_stairs_needed
1000,1001,Stairs,"{0,0}",,,,JRowl,,
1000,1002,Hallway,"{0,0}",,,,JRowl,,
1000,1003,,"{0,0}",,,,JRowl,,
1000,1004,Bathroom(W),"{0,0}",,,,JRowl,,
1000,1005,Bathroom(M),"{0,0}",,,,JRowl,,
1000,1006,,"{0,0}",,,,JRowl,,
1000,1007,,"{0,0}",,,,JRowl,,
1000,1007A,,"{0,0}",,,,JRowl,,
1000,1008,Office,"{0,0}",,,,JRowl,,
1000,1009,Office,"{0,0}",,,,JRowl,,
1000,1009A,,"{0,0}",,,,JRowl,,
1000,1009B,Office,"{0,0}",,,,JRowl,,
1000,1009C,Office,"{0,0}",,,,JRowl,,
1000,1009D,Office,"{0,0}",,,,JRowl,,
1000,1009E,Office,"{0,0}",,,,JRowl,,
1000,1010,Office,"{0,0}",,,,JRowl,,
1000,1011,Office,"{0,0}",,,,JRowl,,
1000,1011A,Office,"{0,0}",,,,JRowl,,
1000,1011B,Office,"{0,0}",,,,JRowl,,
1000,1011C,Office,"{0,0}",,,,JRowl,,
1000,1012.01,Office,"{0,0}",,,,JRowl,,
1000,1012.02,Office,"{0,0}",,,,JRowl,,
1000,1013,Office,"{0,0}",,,,JRowl,,
1000,1013A,Office,"{0,0}",,,,JRowl,,
1000,1013B,Office,"{0,0}",,,,JRowl,,
1000,1013C,Office,"{0,0}",,,,JRowl,,
1000,1013D,Office,"{0,0}",,,,JRowl,,
1000,1013E,Office,"{0,0}",,,,JRowl,,
1000,1013F,Office,"{0,0}",,,,JRowl,,
1000,1013G,Office,"{0,0}",,,,JRowl,,
1000,1013H,Office,"{0,0}",,,,JRowl,,
1000,1014,Office,"{0,0}",,,,JRowl,,
1000,1015,Office,"{0,0}",,,,JRowl,,
1000,1016,Office,"{0,0}",,,,JRowl,,
1000,1017,Office,"{0,0}",,,,JRowl,,
1000,1018,Office,"{0,0}",,,,JRowl,,
1000,1019,Office,"{0,0}",,,,JRowl,,
1000,1019A,Office,"{0,0}",,,,JRowl,,
1000,1019B,Office,"{0,0}",,,,JRowl,,
1000,1019C,Office,"{0,0}",,,,JRowl,,
1000,1020,,"{0,0}",,,,JRowl,,
1000,1023,Office,"{0,0}",,,,JRowl,,
1000,1024,Office,"{0,0}",,,,JRowl,,
1000,1025,Office,"{0,0}",,,,JRowl,,
1000,1-E,Elevator,"{0,0}",,,,JRowl,,
2000,2001,Stairs,"{0,0}",,,,JRowl,,
2000,2002,Hallway,"{0,0}",,,,JRowl,,
2000,2003,,"{0,0}",,,,JRowl,,
2000,2004,Bathroom(M),"{0,0}",,,,JRowl,,
2000,2005,Bathroom,"{0,0}",,,,JRowl,,
2000,2007,,"{0,0}",,,,JRowl,,
2000,2008,Hallway,"{0,0}",,,,JRowl,,
2000,2009,Stairs,"{0,0}",,,,JRowl,,
2000,2010,Classroom,"{0,0}",,,,JRowl,,
2000,2011,,"{0,0}",,,,JRowl,,
2000,2012,Classroom,"{0,0}",,,,JRowl,,
2000,2012A,Classroom,"{0,0}",,,,JRowl,,
2000,2013,Classroom,"{0,0}",,,,JRowl,,
2000,2014,Classroom,"{0,0}",,,,JRowl,,
2000,2015,Classroom,"{0,0}",,,,JRowl,,
2000,2016,,"{0,0}",,,,JRowl,,
2000,2017,Classroom,"{0,0}",,,,JRowl,,
2000,2018,Classroom,"{0,0}",,,,JRowl,,
2000,2019,,"{0,0}",,,,JRowl,,
2000,2020,,"{0,0}",,,,JRowl,,
2000,2-E,Elevator,"{0,0}",,,,JRowl,,
3000,3001,Stairs,"{0,0}",,,,JRowl,,
3000,3002,Hallway,"{0,0}",,,,JRowl,,
3000,3003,,"{0,0}",,,,JRowl,,
3000,3004,Classroom(W),"{0,0}",,,,JRowl,,
3000,3005,Classroom,"{0,0}",,,,JRowl,,
3000,3006,,"{0,0}",,,,JRowl,,
3000,3007.01,Office,"{0,0}",,,,JRowl,,
3000,3007.02,Office,"{0,0}",,,,JRowl,,
3000,3008,Stairs,"{0,0}",,,,JRowl,,
3000,3009,Office,"{0,0}",,,,JRowl,,
3000,3010.01,Office,"{0,0}",,,,JRowl,,
3000,3010.02,Office,"{0,0}",,,,JRowl,,
3000,3011,Office,"{0,0}",,,,JRowl,,
3000,3012,Office,"{0,0}",,,,JRowl,,
3000,3013,Office,"{0,0}",,,,JRowl,,
3000,3014,,"{0,0}",,,,JRowl,,
