floor,room_number,room_type,door_coordinate,accessible_door,inside_accessbility,room_name,building_name,tags
200,200,Classroom,"{0,0}",,,,West Hall,
200,200A,Hallway,"{0,0}",,,,West Hall,
200,200B,Stairs,"{0,0}",,,,West Hall,
200,200C,Stairs,"{0,0}",,,,West Hall,
200,200D,Hallway,"{0,0}",,,,West Hall,
200,200E,Hallway,"{0,0}",,,,West Hall,
200,200F,Stairs,"{0,0}",,,,West Hall,
200,200G,Hallway,"{0,0}",,,,West Hall,
200,200H,Stairs,"{0,0}",,,,West Hall,
200,200I,,"{0,0}",,,,West Hall,
200,200J,,"{0,0}",,,,West Hall,
200,201,Office,"{0,0}",,,,West Hall,
200,202,Office,"{0,0}",,,,West Hall,
200,203,Office,"{0,0}",,,,West Hall,
200,204,Office,"{0,0}",,,,West Hall,
200,205,Lab,"{0,0}",,,,West Hall,
200,206,,"{0,0}",,,,West Hall,
200,206A,Closet,"{0,0}",,,,West Hall,
200,206B,,"{0,0}",,,,West Hall,
200,207A,,"{0,0}",,,,West Hall,
200,207B,,"{0,0}",,,,West Hall,
200,208,Closet,"{0,0}",,,,West Hall,
200,209,Closet,"{0,0}",,,,West Hall,
200,210,Lab,"{0,0}",,,,West Hall,
200,210A,Classroom,"{0,0}",,,,West Hall,
200,211,Lab,"{0,0}",,,,West Hall,
200,211A,Lab,"{0,0}",,,,West Hall,
200,211B,Lab,"{0,0}",,,,West Hall,
200,211C,Lab,"{0,0}",,,,West Hall,
200,213,Office,"{0,0}",,,,West Hall,
200,214,Lab,"{0,0}",,,,West Hall,
200,215,Bathroom(W),"{0,0}",,,,West Hall,
200,216,Bathroom(M),"{0,0}",,,,West Hall,
200,217,Closet,"{0,0}",,,,West Hall,
200,217A,,"{0,0}",,,,West Hall,
200,218,Classroom,"{0,0}",,,,West Hall,
200,218A,,"{0,0}",,,,West Hall,
200,219,Closet,"{0,0}",,,,West Hall,
200,220,Classroom,"{0,0}",,,West Hall Auditorium,West Hall,
200,220B,Hallway,"{0,0}",FALSE,,,West Hall,
200,220C,Hallway,"{0,0}",FALSE,,,West Hall,
200,221,Stairs,"{0,0}",,,,West Hall,
200,222,Hallway,"{0,0}",,,,West Hall,
200,223,Stairs,"{0,0}",,,,West Hall,
200,224,Closet,"{0,0}",,,,West Hall,
200,225,Bathroom(N),"{0,0}",,,,West Hall,
200,226,Closet,"{0,0}",,,,West Hall,
200,226A,Closet,"{0,0}",,,,West Hall,
300,300A,Hallway,"{0,0}",,,,West Hall,
300,300B,Stairs,"{0,0}",,,,West Hall,
300,300C,Stairs,"{0,0}",,,,West Hall,
300,300D,Hallway,"{0,0}",,,,West Hall,
300,300E,Hallway,"{0,0}",,,,West Hall,
300,300F,Stairs,"{0,0}",,,,West Hall,
300,300G,Hallway,"{0,0}",,,,West Hall,
300,300H,Stairs,"{0,0}",,,,West Hall,
300,300I,Hallway,"{0,0}",,,,West Hall,
300,300J,Hallway,"{0,0}",,,,West Hall,
300,300L,Hallway,"{0,0}",,,,West Hall,
300,300M,Stairs,"{0,0}",,,,West Hall,
300,301,Office,"{0,0}",,,,West Hall,
300,301A,,"{0,0}",,,,West Hall,
300,302,Office,"{0,0}",,,,West Hall,
300,302A,Hallway,"{0,0}",,,,West Hall,
300,303,Office,"{0,0}",,,,West Hall,
300,304,Office,"{0,0}",,,,West Hall,
300,305,Office,"{0,0}",,,,West Hall,
300,307,Office,"{0,0}",,,,West Hall,
300,307B,,"{0,0}",,,,West Hall,
300,308,,"{0,0}",,,,West Hall,
300,309,Closet,"{0,0}",,,,West Hall,
